City,Latitude,Longitude,Temperature (C),Humidity (%),Cloudiness (%),Wind Speed (mph)
klaksvik,62.2266,-6.589,6.51,84,100,12.43
pascagoula,30.3658,-88.5561,17.19,45,0,5.66
son la,21.3167,103.9,7.44,67,1,1.42
ostrovnoy,68.0531,39.5131,-2.27,87,100,11.96
mount isa,-20.7333,139.5,24.87,78,40,5.14
salalah,17.0151,54.0924,24.05,35,0,4.63
tasiilaq,65.6145,-37.6368,-3.91,95,100,5.22
umm kaddadah,13.6017,26.6876,26.24,8,92,5.34
castro,-24.7911,-50.0119,28.25,46,0,2.69
san quintin,30.4833,-115.95,14.36,47,87,1.52
urusha,54.05,122.9,-29.76,99,100,0.74
haradok,55.4624,29.9816,-8.53,99,37,1.21
iqaluit,63.7506,-68.5145,-40.92,88,22,1.4
avarua,-21.2078,-159.775,26.03,83,40,4.63
valparaiso,-33.0393,-71.6273,19.71,100,0,3.42
bonavista,48.6499,-53.1147,-3.35,60,40,1.51
dakar,14.6937,-17.4441,32.49,59,47,8.7
nipawin,53.3668,-104.0009,-23.7,91,17,4.48
pendleton,45.6721,-118.7886,3.25,85,100,4.12
duku,11.2361,4.9073,34.78,8,88,2.89
kaitangata,-46.2817,169.8464,9.71,92,5,1.44
sydney,-33.8679,151.2073,23.46,90,67,1.34
verkhoyansk,67.5447,133.385,-48.58,100,81,0.61
namibe,-15.1961,12.1522,24.75,80,99,5.0
krasnaya gora,52.9995,31.6023,-1.92,78,99,1.85
bulawayo,-20.15,28.5833,24.87,29,11,1.5
fort collins,40.5853,-105.0844,-3.52,83,100,2.24
sorong,-0.8833,131.25,25.89,84,100,0.64
saint george,37.1041,-113.5841,4.61,61,0,0.89
nikolskoye,59.7035,30.7861,-5.06,87,97,5.12
encruzilhada,-15.5314,-40.9094,25.71,74,94,2.09
rio grande,-32.035,-52.0986,29.44,63,75,4.54
olga,43.7444,135.2892,-19.15,67,0,5.41
lewistown,40.5992,-77.5714,9.37,70,0,4.63
the valley,18.217,-63.0578,25.33,71,14,7.91
bilma,18.6853,12.9164,28.7,9,100,3.55
norman wells,65.282,-126.8329,-30.11,97,42,1.85
vinh,18.6667,105.6667,12.61,71,29,1.52
acapulco,16.8634,-99.8901,29.9,51,0,1.54
vestmannaeyjar,63.4427,-20.2734,7.52,84,90,11.03
cairns,-16.9167,145.7667,25.52,94,40,2.57
portland,45.5234,-122.6762,5.67,95,100,2.24
cadillac,44.2519,-85.4012,-5.05,68,40,2.06
port keats,-14.25,129.55,27.07,80,100,2.58
port hedland,-20.3167,118.5667,28.03,83,40,0.0
maceio,-9.6658,-35.7353,30.69,58,20,6.69
narrabri,-30.3167,149.7833,27.51,55,42,1.79
warrington,53.3925,-2.5802,6.72,94,100,3.6
vila,42.0304,-8.1588,4.28,68,15,3.69
gayny,60.3071,54.3241,-9.89,90,83,3.69
goroka,-6.0834,145.3873,16.11,97,94,0.43
atuona,-9.8,-139.0333,25.95,79,97,9.13
homer,59.6425,-151.5483,1.56,81,100,4.02
shitanjing,39.2342,106.3439,-7.16,31,0,5.12
guabito,9.5,-82.6167,23.02,87,93,2.04
gornyak,50.9942,81.4661,-12.71,71,0,6.55
hawalli,29.2833,47.9972,15.55,58,0,2.06
malindi,-3.2175,40.1191,25.0,78,5,6.47
show low,34.2542,-110.0298,3.63,33,100,9.77
broome,42.2506,-75.833,4.81,53,0,6.17
alyangula,-13.8483,136.4192,26.82,81,99,1.96
carmen,18.6333,-91.8333,25.02,73,40,5.66
arroyo,41.6096,-4.7969,4.72,60,14,1.34
bambous virieux,-20.3428,57.7575,26.23,85,78,2.07
jiupu,41.0667,122.95,-6.51,59,12,4.13
rzhaksa,52.1338,42.0264,-10.22,93,84,2.82
cabedelo,-6.9811,-34.8339,30.37,59,9,6.77
panguipulli,-39.6333,-72.3333,26.5,26,0,2.25
lahaina,20.8783,-156.6825,20.86,99,100,5.53
saint-philippe,-21.3585,55.7679,26.77,90,100,0.94
airai,-8.9266,125.4092,16.29,93,93,0.48
ambilobe,-13.2,49.05,24.89,89,79,1.29
roma,43.2128,-75.4557,3.74,70,64,6.14
bredasdorp,-34.5322,20.0403,16.89,66,100,6.03
ketchikan,55.3422,-131.6461,2.26,75,0,3.6
nabire,-3.3667,135.4833,23.82,94,100,2.28
shigony,53.3875,48.6777,-15.71,100,58,0.63
yerofey pavlovich,53.9667,121.9667,-26.95,98,99,0.96
olafsvik,64.8945,-23.7142,4.6,85,79,8.23
luderitz,-26.6481,15.1594,23.06,61,0,13.04
forlimpopoli,44.1911,12.1287,4.35,74,40,1.03
doka,13.5167,35.7667,29.23,16,63,4.83
port lincoln,-34.7333,135.8667,18.0,92,100,6.08
cherskiy,68.75,161.3,-28.71,95,100,0.55
makakilo city,21.3469,-158.0858,20.18,78,0,4.63
ypsonas,34.6884,32.9574,14.63,67,0,3.6
mitu,1.1983,-70.1733,32.83,36,88,2.07
manokwari,-0.8667,134.0833,25.4,84,100,1.37
carthage,36.8611,10.3316,11.74,54,40,4.12
clyde river,70.4692,-68.5914,-19.87,84,100,10.8
fengrun,39.8333,118.1167,-4.29,32,0,2.92
temerloh,3.4483,102.4176,22.77,99,100,0.89
cruzeiro do oeste,-23.785,-53.0733,32.95,41,7,2.24
gwanda,-20.9333,29.0,28.26,27,57,3.2
carauari,-4.8828,-66.8958,24.22,91,100,1.15
disna,55.568,28.1971,-9.66,98,31,1.66
itarema,-2.9248,-39.9167,30.27,59,30,6.99
biak,-0.9131,122.8766,24.59,87,94,1.05
plouzane,48.3833,-4.6167,6.07,70,100,4.63
kiruna,67.8557,20.2251,-6.49,73,0,4.12
aklavik,68.2191,-135.0107,-25.79,95,52,6.83
longyearbyen,78.2186,15.6401,-5.09,74,40,8.23
marsabit,2.3284,37.9899,23.41,30,0,4.16
ponta delgada,37.7333,-25.6667,14.4,77,40,6.69
lompoc,34.6391,-120.4579,9.67,84,100,1.54
los llanos de aridane,28.6585,-17.9182,14.51,82,75,8.23
liuzhou,24.3126,109.3892,9.18,25,66,2.46
matay,28.419,30.7792,20.26,17,87,4.01
daru,-9.0763,143.2092,26.61,83,83,2.37
nerchinskiy zavod,51.3088,119.61,-31.85,100,82,0.53
channel-port aux basques,47.5702,-59.1367,-1.64,63,89,5.62
severodvinsk,64.5635,39.8302,-1.94,83,100,7.59
souillac,-20.5167,57.5167,26.59,86,81,2.58
sobolevo,54.4299,31.8996,-3.55,88,89,0.64
botou,38.0667,116.5667,-1.81,24,0,4.53
belaya gora,68.5333,146.4167,-37.06,100,100,1.11
kijang,35.2442,129.2139,-0.75,61,3,4.12
ust-nera,64.5667,143.2,-36.33,98,87,1.24
sawakin,19.1059,37.3321,24.43,75,54,3.17
estelle,29.8458,-90.1067,19.06,55,40,7.2
egvekinot,66.3167,-179.1667,-10.92,97,100,0.97
rio brilhante,-21.8019,-54.5464,32.28,49,23,3.23
singaraja,-8.112,115.0882,24.69,93,100,2.04
vila velha,-20.3297,-40.2925,29.41,76,20,6.69
mantua,45.1667,10.7833,4.91,70,14,0.45
kharp,66.8014,65.8081,-18.7,93,74,3.05
chajul,15.4853,-91.0342,19.02,53,36,2.57
mogadishu,2.0371,45.3438,24.98,80,0,10.49
lagos,6.5833,3.75,29.07,70,89,4.57
sitka,57.0531,-135.33,0.94,80,0,2.06
bethel,41.3712,-73.414,8.14,50,0,5.66
afsin,38.2477,36.914,1.12,99,100,0.99
noumea,-22.2763,166.4572,25.56,99,99,2.34
igarka,67.4667,86.5833,-16.52,96,99,4.75
caravelas,-17.7125,-39.2481,29.65,60,76,5.1
san jose,37.3394,-121.895,8.59,82,100,1.34
srednekolymsk,67.45,153.6833,-31.61,98,96,0.66
anadyr,64.75,177.4833,-8.61,94,98,2.96
conde,-7.2597,-34.9075,29.7,58,40,8.23
yerbogachen,61.2767,108.0108,-26.7,100,100,0.48
luganville,-15.5333,167.1667,26.65,82,9,1.52
jardim,-21.4803,-56.1381,33.47,43,39,3.13
alto araguaia,-17.3147,-53.2153,25.85,67,62,4.89
dingle,10.9995,122.6711,23.57,93,94,5.61
ancud,-41.8697,-73.8203,18.12,64,24,3.79
houma,29.5958,-90.7195,20.26,63,0,8.23
kungalv,57.871,11.9805,2.7,95,100,5.13
greencastle,39.6445,-86.8647,5.04,74,75,3.09
touros,-5.1989,-35.4608,30.17,52,9,7.7
torbay,47.6666,-52.7314,-1.31,65,9,1.34
mettlach,49.4935,6.5969,1.18,88,42,2.03
puteyets,65.1716,57.091,-10.45,95,100,3.81
paris,48.8534,2.3488,2.8,72,100,4.63
flin flon,54.7682,-101.865,-24.09,92,50,4.48
ushtobe,45.2514,77.9838,-15.42,94,7,1.48
half moon bay,37.4636,-122.4286,8.57,92,100,0.0
tiarei,-17.5333,-149.3333,26.01,75,5,6.94
paamiut,61.994,-49.6678,-7.72,85,100,11.21
naze,28.3667,129.4833,10.36,64,97,5.23
alofi,-19.0595,-169.9187,27.33,76,94,5.35
atar,20.5169,-13.0499,22.58,25,65,5.77
sangar,63.9242,127.4739,-45.19,98,40,0.97
kavieng,-2.5744,150.7967,27.85,76,16,4.12
gien,47.6933,2.6309,2.93,80,78,3.47
fort nelson,58.8053,-122.7002,-26.94,100,61,0.87
vardo,70.3705,31.1107,0.42,98,99,3.95
kuala sungai baru,2.3594,102.0353,25.18,90,100,3.25
verkhnyaya inta,65.9811,60.3094,-12.41,93,100,5.54
severnyy,50.677,36.5532,-3.98,93,75,4.0
sao joao da barra,-21.6403,-41.0511,32.05,79,70,5.56
tiksi,71.6872,128.8694,-32.37,99,100,1.62
kahului,20.8947,-156.47,20.3,96,75,2.57
mana,5.6592,-53.7767,26.26,69,68,3.46
rivera,-30.9053,-55.5508,31.1,44,100,7.23
ugoofaaru,5.6667,73.0,26.78,77,7,3.63
nanning,22.8167,108.3167,8.25,25,24,2.0
tautira,-17.7333,-149.15,26.82,74,14,6.37
cap malheureux,-19.9842,57.6142,26.37,83,84,3.08
freeport,40.6576,-73.5832,9.49,51,0,8.75
leshukonskoye,64.8989,45.7622,-4.57,93,100,5.13
pangody,65.85,74.4859,-15.04,96,100,3.46
brae,60.3964,-1.353,7.44,78,100,7.67
taos,36.4072,-105.5731,-0.69,56,0,1.79
tazovskiy,67.4667,78.7,-15.72,97,100,1.21
sao filipe,14.8961,-24.4956,23.98,69,36,4.86
frankfurt,50.1167,8.6833,1.31,69,100,3.09
nome,64.5011,-165.4064,-5.96,100,100,5.66
havelock,34.8791,-76.9013,13.01,45,0,2.24
meadow lake,34.8014,-106.5436,2.05,47,0,3.58
nadym,65.5333,72.5167,-13.41,96,91,3.13
hambantota,6.1241,81.1185,24.7,74,100,3.27
nola,40.922,14.5329,8.82,99,71,3.1
karaman,37.0833,33.25,3.94,88,64,4.07
hastings,50.8552,0.5729,4.41,76,16,2.67
bara,10.3744,10.7288,31.4,12,74,1.58
port augusta,-32.5,137.7667,21.48,85,100,0.6
okhotsk,59.3833,143.3,-24.16,83,100,5.2
oudtshoorn,-33.5907,22.2014,14.2,86,100,4.45
waingapu,-9.6567,120.2641,25.91,86,100,2.51
tuatapere,-46.1333,167.6833,10.93,88,7,1.02
condega,13.365,-86.3985,27.08,41,78,7.54
starovelichkovskaya,45.4288,38.7326,3.41,60,100,4.31
curaca,-8.9903,-39.9094,35.5,23,0,4.64
alice springs,-23.7,133.8833,23.75,94,93,3.09
cayenne,4.9333,-52.3333,26.02,83,75,2.06
hwange,-18.3693,26.5019,23.37,85,55,1.55
juye,35.3947,116.0883,-1.61,25,0,3.78
petauke,-14.2426,31.3253,20.07,93,100,1.22
komsomolskiy,40.4272,71.7189,-0.6,69,100,2.06
ukholovo,53.7929,40.4892,-8.91,96,63,2.09
semenivka,52.1783,32.5818,-2.83,88,38,2.92
esperance,-33.8667,121.9,15.59,67,0,4.26
kanniyakumari,8.0833,77.5667,24.13,76,34,6.11
ikeda,34.8221,135.4298,-1.88,92,9,2.43
dongkan,33.9997,119.8308,-2.31,40,0,3.16
borodino,55.9106,94.8983,-5.12,94,100,6.36
zhangjiakou,40.81,114.8794,-7.59,40,0,4.04
jutai,-5.1833,-68.9,28.56,74,100,0.96
bilibino,68.0546,166.4372,-19.9,94,98,1.99
skibbereen,51.55,-9.2667,9.5,96,93,1.93
suoyarvi,62.0833,32.35,-3.21,94,100,6.84
prince albert,53.2001,-105.7677,-21.85,91,41,5.2
mayahi,13.9553,7.6712,32.07,10,88,4.88
ouargaye,11.5033,0.0572,34.46,9,23,2.58
dera ghazi khan,30.0561,70.6348,14.01,17,13,2.78
darbhanga,26.1667,85.9,15.12,59,0,2.71
stornoway,58.2093,-6.3865,5.76,89,75,3.09
aykhal,66.0,111.5,-36.57,100,99,1.85
puerto madryn,-42.7692,-65.0385,28.14,26,0,3.07
wittingen,52.7269,10.7361,0.58,84,38,2.61
vila franca do campo,37.7167,-25.4333,14.23,74,63,5.02
sao felix do xingu,-6.6447,-51.995,28.35,70,98,1.24
kamenka,51.3223,42.7678,-9.23,90,63,2.96
bahce,37.1972,36.5766,4.5,88,80,2.98
rawah,34.4816,41.9093,13.38,51,99,8.44
lesnoy,57.6198,63.0784,-13.39,98,60,2.69
veraval,20.9,70.3667,21.7,76,0,3.02
katsuura,35.1333,140.3,3.71,55,39,2.33
amurzet,47.6967,131.0981,-32.63,96,6,2.25
khandyga,62.6667,135.6,-47.33,100,78,1.14
grindavik,63.8424,-22.4338,5.26,81,75,9.77
bereznik,62.8551,42.7072,-5.79,83,99,4.61
ochsenfurt,49.6643,10.0623,-0.27,85,53,1.99
nicoya,10.1483,-85.452,30.26,40,29,9.09
tura,25.5198,90.2201,16.44,46,3,1.21
sistranda,63.7256,8.834,2.98,75,100,15.35
soyo,-6.1349,12.3689,27.04,78,84,2.9
inirida,3.8653,-67.9239,33.33,41,14,1.55
ahipara,-35.1667,173.1667,19.15,96,82,2.54
ahar,38.4774,47.0699,-1.98,72,90,3.57
kortkeros,61.8106,51.5806,-7.0,86,100,4.74
samut prakan,13.5,100.45,23.05,46,8,6.57
constitucion,-35.3333,-72.4167,22.77,46,2,5.19
nanortalik,60.1432,-45.2371,-4.27,77,100,16.76
bathsheba,13.2167,-59.5167,28.34,57,40,9.77
kamareddi,18.3167,78.35,21.4,28,0,2.65
urumqi,43.801,87.6005,-20.47,84,9,0.0
dalvik,65.9702,-18.5286,4.15,93,98,4.7
te anau,-45.4167,167.7167,10.64,75,0,0.51
chandrakona,22.7333,87.5167,20.48,38,0,3.34
bengkulu,-3.8004,102.2655,24.43,89,100,4.36
port said,31.2565,32.2841,17.84,76,39,6.53
maniitsoq,65.4167,-52.9,-10.01,87,100,8.67
bichura,50.5881,107.6022,-16.27,91,91,1.74
sambava,-14.2667,50.1667,25.9,91,59,2.18
labuhan,-6.8844,112.2051,24.43,92,100,2.53
balaipungut,1.05,101.2833,23.06,96,100,1.84
lavrentiya,65.5833,-171.0,-8.55,96,100,0.76
kruisfontein,-34.0033,24.7314,16.6,85,92,7.7
carutapera,-1.195,-46.02,28.47,66,100,2.61
marsh harbour,26.5412,-77.0636,21.87,71,86,9.06
torquay,50.4638,-3.5143,5.09,82,76,0.45
mazagao,-0.115,-51.2894,29.58,60,92,2.43
pangnirtung,66.1451,-65.7125,-38.94,96,99,1.64
nantucket,41.2835,-70.0995,9.0,69,0,7.2
pleven,43.4167,24.6167,0.97,93,100,2.06
coihaique,-45.5752,-72.0662,21.97,53,40,5.66
hofn,64.2539,-15.2082,3.39,95,100,5.74
yellowknife,62.456,-114.3525,-23.59,90,47,7.24
kaeo,-35.1,173.7833,21.29,96,99,2.77
merke,42.8728,73.1786,-6.02,69,14,2.49
zilina,49.1667,19.1667,-5.74,95,94,2.06
vyartsilya,62.1764,30.693,-1.82,96,100,5.72
hassan,13.0006,76.0994,18.11,44,92,0.59
vigrestad,58.5667,5.7,5.33,87,99,7.06
gangakher,18.95,76.75,24.13,24,0,2.38
ambon,-3.6954,128.1814,25.08,94,40,3.6
mumford,5.2618,-0.759,27.94,77,52,6.25
dzyhivka,48.359,28.3158,-1.21,69,75,4.85
dibulla,11.2725,-73.3091,30.77,36,6,7.05
mount gambier,-37.8333,140.7667,15.2,96,100,2.92
talnakh,69.4865,88.3972,-18.72,96,99,2.9
broken hill,-31.95,141.4333,28.6,24,100,5.91
asyut,27.181,31.1837,22.69,20,4,2.8
murupara,-38.4667,176.7,19.82,99,100,2.07
hami,42.8,93.45,-7.62,32,0,0.82
long,18.0761,99.8326,19.1,60,0,0.62
banikoara,11.2985,2.4386,34.62,9,38,1.31
neumunster,54.0667,9.9833,1.67,91,71,3.13
margate,51.3813,1.3862,4.38,70,29,2.17
srivardhan,18.0333,73.0167,22.94,87,0,0.9
kieta,-6.2167,155.6333,26.16,84,18,1.02
savinka,50.0785,47.0994,-4.97,77,93,3.06
adrar,20.5022,-10.0711,20.33,27,35,4.71
bobcaygeon,44.5462,-78.542,-0.62,84,43,5.55
pisco,-13.7,-76.2167,24.03,78,0,4.63
yar-sale,66.8333,70.8333,-17.55,95,100,3.19
cabinda,-5.55,12.2,27.14,76,75,3.03
vallenar,-28.5708,-70.7581,30.75,32,0,4.04
camacha,33.0833,-16.3333,13.68,63,40,8.75
harper,4.375,-7.7169,28.69,70,73,3.41
tafo,6.7345,-1.6127,35.69,24,70,1.69
lluta,-16.0147,-72.0142,14.21,74,94,4.64
taltal,-25.4,-70.4833,22.38,71,28,3.16
basco,20.4487,121.9702,19.71,70,100,11.8
xam nua,20.4197,104.0439,4.71,67,1,1.12
khairagarh,26.95,77.8167,13.38,33,18,0.59
jacareacanga,-6.2222,-57.7528,26.4,92,100,1.94
pathein,16.7833,94.7333,21.85,78,0,2.46
tokur,53.1333,132.9,-39.55,100,88,1.09
quang ngai,15.1167,108.8,17.31,91,100,2.92
belmonte,-15.8631,-38.8828,28.16,67,28,3.56
jiuquan,39.7432,98.5174,-10.36,56,1,1.45
chara,56.9064,118.2631,-21.71,80,92,0.99
boguchany,58.3814,97.4531,-13.5,99,100,1.26
howell,42.6073,-83.9294,-2.15,75,75,2.57
tigil,57.8,158.6667,-22.21,95,32,1.37
birao,10.2849,22.7882,29.01,11,87,2.43
qarchi gak,37.04,66.7889,1.87,66,100,3.53
methoni,36.8197,21.7049,10.92,61,57,1.35
stillwater,36.1156,-97.0584,13.06,58,0,10.29
changchun,43.88,125.3228,-12.88,66,100,3.34
svetlaya,46.5389,138.3297,-19.88,73,99,4.14
la ronge,55.1001,-105.2842,-22.05,88,100,6.33
filingue,14.3521,3.3168,31.15,9,61,4.18
rongcheng,30.634,117.8517,0.87,42,15,1.61
sarakhs,36.5449,61.1577,2.35,66,47,2.43
bardiyah,31.7561,25.0865,15.12,62,8,4.06
kasongo-lunda,-6.4667,16.8167,25.91,74,54,1.1
visby,57.6409,18.296,2.09,93,100,6.69
tres arroyos,-38.3739,-60.2798,32.12,22,0,3.45
tripoli,32.8752,13.1875,12.85,44,0,5.18
chicama,-7.8447,-79.1469,21.3,59,100,4.12
bama,11.5221,13.6856,30.62,12,67,0.74
grave,51.759,5.7388,1.26,79,20,1.54
nieuw amsterdam,5.8833,-55.0833,28.01,61,40,5.14
rajapur,25.3833,81.15,13.17,36,0,1.18
synya,65.3718,58.0387,-12.38,94,100,3.84
fort atkinson,42.9289,-88.8371,-8.42,79,100,0.45
saint-malo,48.5,-1.8333,4.74,73,70,4.37
agirish,61.9247,63.0231,-14.53,91,7,3.72
chumikan,54.7183,135.315,-28.82,85,29,8.95
victoria point,-27.5833,153.3,24.14,89,51,0.94
ust-charyshskaya pristan,52.3934,83.6635,-7.92,69,1,6.62
meulaboh,4.1363,96.1285,24.28,87,99,1.6
alekseyevskaya,50.2896,42.1845,-7.88,93,85,2.44
rostovka,55.3842,71.8891,-9.3,94,100,5.37
beira,-19.8436,34.8389,28.98,57,43,3.12
flinders,-34.5833,150.8552,23.84,90,98,1.79
saijo,33.9167,133.1833,0.07,77,92,3.9
mocuba,-16.8392,36.9856,26.72,72,76,2.3
kununurra,-15.7667,128.7333,26.99,89,40,0.0
teguldet,57.3064,88.1667,-7.89,93,100,4.98
rock sound,24.9,-76.2,23.58,77,94,10.9
storforshei,66.4043,14.5233,-0.12,92,75,4.63
salinopolis,-0.6136,-47.3561,27.43,73,96,3.42
akdepe,42.0551,59.3788,-0.67,48,0,4.45
dothan,31.2232,-85.3905,13.35,38,0,3.6
khudumelapye,-23.8833,24.75,32.68,17,41,1.96
bonthe,7.5264,-12.505,28.85,67,59,5.31
kokoda,-8.8785,147.7407,23.7,96,74,0.32
bousso,10.4795,16.7117,33.32,11,93,0.9
visavadar,21.3833,70.6833,20.57,65,4,1.26
port blair,11.6667,92.75,28.02,69,40,2.57
charyshskoye,51.3978,83.5598,-13.11,87,9,2.57
praia da vitoria,38.7333,-27.0667,15.98,77,85,4.39
taree,-31.9,152.4667,22.85,94,57,1.78
kuala terengganu,5.3302,103.1408,27.21,86,100,4.74
waipawa,-41.4122,175.5153,16.59,98,100,2.22
